Территориальное управление Ростехнадзора,Субъект(ы) Российской Федерации,Вид проверки,Наименование проверяемой организации,ИНН проверяемой организации,Регистрационный № ОПО,Начало проведения проверки,Окончание проведения проверки,Количество башенных кранов в организации (всего),Количество проверенных башенных кранов,Количество демонтированных кранов (из числа проверенных),Количество выявленных технических нарушений,Количество выявленных организационных нарушений,Количество нарушений в части ППР,Количество нарушений в части ЭПБ,Количество нарушений требований ТР ТС 010/2011,"Количество иных нарушений (с указанием вида(видов) нарушений в графе ""Примечания"")",Общее количество выявленных нарушений (по Акту),Количество штрафов в отношении юридических лиц,Общая сумма наложенных штрафов в отношении юридических лиц (руб.),Количество штрафов в отношении должностных лиц,Общая сумма наложенных штрафов в отношении должностных лиц (руб.),Количество приостановок по ч.1 ст. 9.1 КоАП,Количество приостановок по ч. 3 ст. 9.1 КоАП,Количество вынесенных предупреждений,Количество дисквалификаций,"Иные принятые меры реагирования (письма в правоохранительные органы, прокуратуру, суды и т.д.)",Примечания
Приокское управление,62 Рязанская область,первичная выездная проверка (по поручению 85 РП),ОАО «Рязаньжилстрой» ,6 227 002 300,А03-00617-0001,12.03.2018,27.03.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Приокское управление,62 Рязанская область,первичная выездная проверка (по поручению 85 РП),ООО «Стройбетонмонтаж» ,6 208 009 282,А03-02773-0001,11.12.2017,15.12.2017,0,0,0,0,4,0,0,0,0,4,0, -   ? ,0, -   ? ,0,0,1,0,,
Северо-Западное управление,35 Вологодская область,первичная выездная проверка (по поручению 85 РП),ООО ««ПТК «Машпрофиль»,3 528 075 360,А28-01871-0001,08.11.2017,21.11.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?Невозможность проведения проверки
",
Северо-Западное управление,35 Вологодская область,первичная выездная проверка (по поручению 85 РП),Акционерное общество «Кислородмонтаж»,7 734 005 245,А01-06685-0003,04.12.2017,15.12.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Невозможность проведения проверки
"
Верхне-Донское управление,36 Воронежская область,первичная выездная проверка (по поручению 85 РП),Обществj с ограниченной ответственностью «ПромИнвест»,3 661 041 570,А12-03635-0004,19.03.2018,21.03.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"В ходе проверки конкурсным управляющим ООО «ПромИнвест» представлена копия  договора купли-продажи от 01.02.2010 № К-01.02.10, согласно которому грузоподъёмный кран БКСМ-14ПМ4, уч. № А12-1755, зав. № 1242 продан ООО «АВА-Трейд» ИНН 3662135848. Вместе с тем акт приема передачи, который подтверждает в соответствии с п. 2.1 вышеназванного договора  передачу грузоподъёмного крана БКСМ-14ПМ4 уч. № А12-1755 ООО «АВА-Трейд» ИНН 3662135848 не представлен. По адресу местонахождения ОПО грузоподъёмный кран БКСМ-14ПМ4 уч. № А12-1755 отсутствует."
Приокское управление,62 Рязанская область,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Приток» ,6 231 032 762,А03-00902-0001,05.04.2018,25.04.2018,6,6,5,7,13,0,1,0,0,21,0, -   ? ,1, 20 000.00 ? ,0,1,0,0,,
Верхне-Донское управление,36 Воронежская область,контроль выполнения предписания,Общество с ограниченной ответственностью «Стройком Плюс»,3 666 163 451,,26.03.2018,27.03.2018,10,10,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,предписание  №П-В6/624-6091 от 29.11.2017 выполнено в установленный срок  в полном объёме
Приволжское управление,16 Республика Татарстан (Татарстан),первичная выездная проверка (по поручению 85 РП),ООО «Сервистехномонтаж»,1 658 159 306,А43-06260-0001,19.02.2018,21.03.2018,1,1,0,0,44,6,1,0,5,56,0, -   ? ,0, -   ? ,0,0,0,0,нет?,"?Выполнено привлечение к административной ответственности 1 должностного лица гл. гос. инспектором Западно-Уральского управления Ростехнадзора, участвующим в проверке юридического лица
"
Верхне-Донское управление,48 Липецкая область,контроль выполнения предписания,"Общество с ограниченной ответственностью ""Стройка""",4 824 065 772,А13-04161-0001,07.02.2018,12.02.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Топстрой""",5 018 183 354,А02-91323-0002,10.11.2017,23.11.2017,4,4,1,1,6,3,0,0,0,10,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Верхне-Донское управление,36 Воронежская область,контроль выполнения предписания,"Закрытое акционерное общество «Торговая компания ""Металлист""",3 663 069 027,А12--03752-0001,22.02.2018,22.02.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,?КВП от 19.01.2018 №П-В6/30-210. Предписание исполнено
Верхне-Донское управление,36 Воронежская область,контроль выполнения предписания,"Общество с ограниченной отвественностью ""Капитальное строительство""",3 662 139 240,А12-03995-0001,21.02.2018,21.02.2018,3,3,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Верхне-Донское управление,36 Воронежская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Фирма ""Шипов Лес""",3 620 005 910,А12-2588-0001,26.03.2018,27.03.2018,1,1,0,0,2,0,0,0,0,2,0, -   ? ,0, -   ? ,0,0,1,0,,
Верхне-Донское управление,36 Воронежская область,контроль выполнения предписания,"Открытое акционерное общество ""Воронежагропромстройкомлект""",3 663 006 355,А12-01018-0001,22.03.2018,23.03.2018,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,?КВП от 27.12.2017 №П-В6/30-6736. Предписание исполнено
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""Топстрой""",5 018 183 354,А02-91323-0002,19.03.2018,21.03.2018,4,4,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Кузница климата""",5 036 129 335,А01-14220-0001,01.02.2018,09.02.2018,9,4,0,0,2,4,0,0,0,6,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""Кузница климата""",5 036 129 335,А01-14220-0001,10.04.2018,13.04.2018,9,4,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""УМ-22""",5 050 080 434,А02-55196-0001,02.02.2018,16.02.2018,12,12,7,5,5,7,0,0,0,17,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""УМ-22""",5 050 080 434,А02-55196-0001,20.04.2018,25.04.2018,12,12,7,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""Высотник""",5 001 093 656,А02-90850-0001,26.03.2018,30.03.2018,6,6,3,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Забайкальское управление,3 Республика Бурятия,первичная выездная проверка (по поручению 85 РП),ООО Олимп,3 320 990 149,А64-01183-0001,12.03.2018,15.03.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Производство остановлено из-за финансового состояния, кран КБ-309ХЛ выведен из эксплуатации приказом от 17.11.2017г. б/н
"
Забайкальское управление,75 Забайкальский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Чай востока""",7 536 065 299,А69-01155-0001,13.04.2018,27.04.2018,2,2,2,0,4,0,0,0,0,4,0, -   ? ,0, -   ? ,0,0,1,0,,
Западно-Уральское управление,59 Пермский край,первичная выездная проверка (по поручению 85 РП),"Акционерное общество ""ПЗСП""",5 916 002 380,А48-00012-0006,09.08.2017,05.09.2017,9,9,2,33,25,5,3,17,0,83,1, 100 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Западно-Уральское управление,2 Республика Башкортостан,первичная выездная проверка (по поручению 85 РП),"ООО ""Газпром нефтехим Салават""",266 048 970,А41-00137-0002,22.11.2017,19.12.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,2 Республика Башкортостан,контроль выполнения предписания,"АО ""Мелеузовский завод железобетонных конструкций""",263 000 635,А41-00083-0006,25.04.2018,26.04.2018,3,3,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Межрегиональное технологическое управление,77 г. Москва,первичная выездная проверка (по поручению 85 РП),"ЗАО ""Штрабаг""",7 707 007 451,А01-03116-0001,02.04.2018,26.04.2018,9,9,0,6,4,8,0,0,0,18,1, 250 000.00 ? ,5, 105 000.00 ? ,0,0,0,0,"?Штраф на физическое лицо, стропальщика, за нарушение производственой инструкции (1 на 2000 руб)
","?5 башенных кранов находятся в Московской области, 2 из них на хранении в демонтированном виде, на складе.
"
Северо-Западное управление,78 Санкт-Петербург,первичная выездная проверка (по поручению 85 РП),ООО «ВОСТОК-ТЕХНИКА»,7 820 049 077,А19-10331-0001,20.03.2018,30.03.2018,14,14,12,0,9,0,0,0,0,9,0, -   ? ,0, -   ? ,0,0,1,0,,
Западно-Уральское управление,43 Кировская область,контроль выполнения предписания,"АО ""СЕВЕР""",4 341 018 478,А47-11385-0001,16.04.2018,27.04.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,?0
Северо-Западное управление,78 Санкт-Петербург,первичная выездная проверка (по поручению 85 РП),"ООО ""Серебряный город""",7 814 151 788,А19-06465-0001,21.03.2018,30.03.2018,3,3,0,0,4,2,0,0,0,6,0, -   ? ,0, -   ? ,0,0,1,0,,
Центральное управление,33 Владимирская область,первичная выездная проверка (по поручению 85 РП),"ООО ""СпецАвтоСтрой""",3 314 008 285,А15-04554-0001,22.01.2018,26.01.2018,3,0,0,17,11,2,1,0,0,31,0, -   ? ,1, 20 000.00 ? ,3,0,0,0,,
Центральное управление,33 Владимирская область,первичная выездная проверка (по поручению 85 РП),"ЗАО ""Ковровский завод силикатного кирпича""",3 317 000 397,А15-00905-0009,12.02.2018,14.02.2018,1,1,1,0,2,0,0,0,0,2,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,первичная выездная проверка (по поручению 85 РП),"ООО ""Стройсистема""",7 202 159 491,А57-20682-0001,15.05.2017,26.06.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,33 Владимирская область,первичная выездная проверка (по поручению 85 РП),ИП Гольцов В.М.,332 706 549 308,А15-04562-0001,12.03.2018,23.03.2018,19,19,5,9,8,2,0,0,0,19,0, -   ? ,0, -   ? ,3,0,0,0,,
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,первичная выездная проверка (по поручению 85 РП),"ЗАО ""Ленуренгойстрой""",8 904 003 810,А59-50056-0001,10.05.2017,21.06.2017,6,6,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,первичная выездная проверка (по поручению 85 РП),"ООО Фирма ""Макс""",8 904 009 361,А59-50113-0002,30.05.2017,11.07.2017,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,первичная выездная проверка (по поручению 85 РП),"ООО ""СП Фоника""",8 904 040 178,А59-60409-0001,15.08.2017,11.09.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,первичная выездная проверка (по поручению 85 РП),"ООО ""Ямалстрой""",8 904 045 024,А59-60675-0001,15.08.2017,11.09.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,43 Кировская область,контроль выполнения предписания,общество с ограниченной ответственностью «Тектон»,4 345 306 861,А47-12245-0001,02.03.2018,13.04.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,43 Кировская область,первичная выездная проверка (по поручению 85 РП),Индивидуальный предприниматель Музыка Сергей Иванович,431 601 045 777,А47-11511-0001,02.04.2018,27.04.2018,2,2,0,2,9,0,1,0,0,12,0, -   ? ,0, -   ? ,1,0,0,0,,
Северо-Западное управление,29 Архангельская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Спецфундаментстрой""",2 902 037 041,А27-02291-0001,04.04.2018,11.04.2018,1,1,1,0,6,0,0,0,0,6,0, -   ? ,0, -   ? ,0,0,1,0,,
Северо-Западное управление,29 Архангельская область,первичная выездная проверка (по поручению 85 РП),"ООО  ""Альянс""",2 903 009 382,не зарегистрирован,11.04.2018,19.04.2018,2,2,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?Выдано предострежение №57-1630/ПДЖ-89  от 19.04.2018.
",
Северо-Западное управление,29 Архангельская область,контроль выполнения предписания,"ООО ""Норд-Сити""",2 902 072 906,А27-02175-0001,16.04.2018,18.04.2018,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,72 Тюменская область,первичная выездная проверка (по поручению 85 РП),Акционерное общество «Инженерно - производственная фирма «Сибнефтеавтоматика»,7 203 069 360,А57-20681-0001,20.11.2017,28.12.2017,1,1,0,4,3,1,0,0,0,8,0, -   ? ,2, 40 000.00 ? ,0,0,0,0,,
Северо-Уральское управление,72 Тюменская область,контроль выполнения предписания,Акционерное общество «Инженерно - производственная фирма «Сибнефтеавтоматика»,7 203 069 360,А57-20681-0001,10.04.2018,26.04.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,?КВП
Северо-Уральское управление,72 Тюменская область,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Экспроф»,7 204 034 755,А57-00290-0002,20.11.2017,29.12.2017,1,1,0,3,8,1,0,0,0,12,1, 200 000.00 ? ,4, 80 000.00 ? ,0,0,0,0,,
Северо-Уральское управление,72 Тюменская область,контроль выполнения предписания,Общество с ограниченной ответственностью «Экспроф»,7 204 034 755,А57-00290-0002,10.04.2018,27.04.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,?КВП
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Иберис""",7 743 919 848,А01-13888-0001,19.02.2018,16.03.2018,12,3,0,0,3,7,0,0,0,10,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"АО ""ПСК НПО Машиностроения""",5 041 016 312,А02-55274-0001,05.04.2018,12.04.2018,2,2,0,1,9,0,0,0,0,10,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""УМ 1 СМТ""",7 724 569 852,А01-08079-0001,02.04.2018,09.04.2018,1,1,0,3,8,5,0,0,0,16,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Верхне-Донское управление,31 Белгородская область,первичная выездная проверка (по поручению 85 РП),"АО ""Инвестиционная компания ""Строитель Белогорья""",3 123 297 149,А06-07894-0001,25.04.2018,26.04.2018,1,1,0,0,4,0,0,0,0,4,0, -   ? ,0, -   ? ,0,0,1,0,,
Северо-Западное управление,29 Архангельская область,первичная выездная проверка (по поручению 85 РП),"ФГУП ""Росморпорт""",7 702 352 454,А01-07227-0005,18.04.2018,27.04.2018,1,1,0,0,5,0,0,0,0,5,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Западное управление,29 Архангельская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Монарх-техно""",2 901 240 450,не зарегистрирован,23.04.2018,28.04.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Кавказское управление,9 Карачаево-Черкесская Республика,первичная выездная проверка (по поручению 85 РП),"АО ""Кавказцемент""",909 000 840,А 36-00241-0005,23.04.2018,27.04.2018,2,2,0,4,5,1,0,0,0,10,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,"?Рассмотрение протоколов в отношении должностного лицаназначено на 07.05.2018, юридического назначено на 04.05.2018
"
Кавказское управление,20 Чеченская Республика,первичная выездная проверка (по поручению 85 РП),"ПДСФ ""Агродорстрой"" ООО",2 015 037 423,А33-00551-0001,10.04.2018,19.04.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,59 Пермский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Урал-Инвест""",5 903 030 157,А 48-13498-0001,22.05.2017,19.06.2017,2,2,2,12,13,0,9,10,0,44,0, -   ? ,0, -   ? ,0,2,1,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Завод электромонтажных изделий",2 463 011 772,А66-00304-0003,12.03.2018,06.04.2018,1,1,0,8,7,0,2,0,0,17,0, -   ? ,0, -   ? ,1,0,0,0,"?Отправлены документы в суд на приостановку деятельности
",
Западно-Уральское управление,43 Кировская область,контроль выполнения предписания,"ООО ""Стройиндустрия""",4 345 138 374,А01-14338-0001,23.04.2018,28.04.2018,2,2,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,59 Пермский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Урал-Инвест""",5 903 030 157,А48-13498-0001,22.05.2017,19.06.2017,2,2,2,6,19,0,7,12,0,44,0, -   ? ,0, -   ? ,0,2,1,0,"?0
","?0
"
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Завод электромонтажных изделий",2 463 011 772,А66-00304-0003,12.03.2018,06.04.2018,1,1,0,8,7,0,2,0,0,17,0, -   ? ,0, -   ? ,1,0,0,0,"?переданы документы в Октябрьский суд
","?Постановление суда: приостановление деятельности
"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Изоляционный трубный завод""",5 042 101 994,А02-90876-0005; А02-90876-0006.,17.04.2018,27.04.2018,3,3,0,18,3,0,1,0,0,22,1, -   ? ,1, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,контроль выполнения предписания,"ФКП ""НИЦ РКП""",5 042 006 211,А02-50006-0029,19.04.2018,25.04.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"В ходе проведения КВП, перед рассмотрением дела кран демонтирован. Вынесены постановления о прекращении производства по делам об административном правонарушении.

"
Центральное управление,50 Московская область,контроль выполнения предписания,"ООО ""М-Кран""",7 701 779 684,А01-13423-0001,17.10.2017,20.10.2017,14,3,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Нижне-Волжское управление,64 Саратовская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Викинг кран технолоджи""",7 816 581 698,А19-09786-0001,28.03.2018,24.04.2018,21,1,1,0,2,0,0,0,0,2,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Верхне-Донское управление,31 Белгородская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Бентопром""",3 128 047 512,А06-06139-0003,18.08.2017,31.08.2017,1,1,1,1,4,0,1,0,0,6,0, -   ? ,1, 40 000.00 ? ,0,1,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Кран-Монтаж""",2 465 157 061,А66-04296-0001,29.01.2018,26.02.2018,14,14,0,30,15,0,0,0,0,45,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Кран-Монтаж""",2 465 157 061,А66-04296-0001,29.01.2018,26.02.2018,14,14,0,30,15,0,0,0,0,45,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Кран-Монтаж""",2 465 157 061,А66-04296-0001,29.01.2018,26.02.2018,14,9,5,30,15,0,0,0,0,45,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Кран-Сервис""",2 462 202 630,А66-03394-0001,19.02.2018,21.03.2018,6,6,0,22,12,0,0,0,0,34,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Альфа""",2 460 001 399,А66-02572-0003,02.04.2018,27.04.2018,8,8,2,30,14,0,4,0,0,48,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Акционерное общество ""Красноярская компания по производству лесоматериалов Красноярсклесоматериалы""",2 407 009 152,,06.03.2018,28.03.2018,0,0,0,0,1,0,0,0,0,1,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,"?Кран передан в аренду
"
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""М-Капитал""",2 466 216 383,А66-03530-0001,19.02.2018,21.03.2018,2,1,1,9,14,0,0,0,0,23,0, -   ? ,1, 20 000.00 ? ,0,0,1,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Викинг кран технолоджи""",7 816 581 698,А19-09786,17.01.2018,18.01.2018,1,1,0,0,4,0,0,0,0,4,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"АО ""Фирма ""Культбытстрой""",2 464 000 780,А66-00264-0002,17.04.2018,28.04.2018,19,6,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Нарушения устранены согласно предписания №08/0025 от 14.03.2018
"
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Зеленогорский машиностроительный комплекс""",2 453 019 356,А66-04245-0001,19.03.2018,21.03.2018,1,1,0,3,2,0,2,0,0,7,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Вуд Логистик""",2 465 251 219,,13.02.2018,15.03.2018,2,2,0,6,5,0,0,0,0,11,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Армада""",2 450 016 580,,16.03.2018,22.03.2018,1,1,0,1,5,0,0,0,0,6,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"АО ""Енисейская сплавная контора""",2 454 003 341,"А66-1354-0007, А66-1354-0001,А66-1354-0005",06.02.2018,06.03.2018,10,5,5,23,10,24,1,10,0,68,1, 100 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Енисей-Лянму""",2 454 017 263,А66-04321-0001,06.02.2018,06.03.2018,1,1,0,5,8,3,0,0,0,16,1, 400 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Научно-производственное предприятие""ПТМ-Сервис""",2 460 248 519,А66-04192-0001,19.02.2018,26.02.2018,3,3,0,2,0,0,0,0,0,2,1, 400 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Викинг кран технолоджи""",7 816 581 698,,26.02.2018,27.03.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Стандарт""",2 462 043 901,,15.02.2018,19.03.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?кран передан физ. лицу
"
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ПКФ ""Хуанхэ групп""",2 466 092 459,А66-01346-0001,14.02.2018,16.03.2018,0,0,4,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?2 крана проданы, 2 переданы в аренду
"
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Севертранс""",2 454 022 640,,06.02.2018,06.03.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?кран передан другому владельцу
"
Верхне-Донское управление,36 Воронежская область,контроль выполнения предписания,Общество с ограниченной ответственностью «Проект Оптима»,3 664 069 453,А12-03922-0001,17.04.2018,19.04.2018,6,6,3,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Верхне-Донское управление,36 Воронежская область,контроль выполнения предписания,Общество с ограниченной ответственностью «Управление механизации Воронеж»,3 662 221 871,А12-04072-0001,17.04.2018,18.04.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,59 Пермский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Урал-Инвест""",5 903 030 157,48-13498-0001,22.05.2017,19.06.2017,2,2,2,7,16,0,11,10,0,44,0, -   ? ,0, -   ? ,0,1,2,0,,
Нижне-Волжское управление,64 Саратовская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Балаковский Судостроительно-Судоремонтный Завод""",6 439 074 119,А51-06264-0002,06.09.2017,15.09.2017,3,3,0,1,9,0,3,0,2,15,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,"?Идентификация ОПО проведена не в полном объеме
"
Кавказское управление,6 Республика Ингушетия,первичная выездная проверка (по поручению 85 РП),"ООО ""ДикОйл""",606 007 879,А31-00282-0001,12.02.2018,19.02.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Нижне-Волжское управление,64 Саратовская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Балжилстрой""",6 453 048 033,А51-06857-0001; А51-06857-0002,07.12.2017,20.12.2017,2,2,0,0,5,1,2,0,0,8,0, -   ? ,1, 20 000.00 ? ,0,0,1,0,,
Нижне-Волжское управление,64 Саратовская область,контроль выполнения предписания,"ООО ""Балаковский Судостроительно-Судоремонтный Завод""",6 439 074 119,А51-06264-0002,31.01.2018,06.02.2018,3,3,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Все пункты предписания выполнены
"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Вектор+""",5 027 053 760,А02-52386-0003,16.04.2018,20.04.2018,4,1,3,1,3,0,0,0,0,4,0, -   ? ,0, -   ? ,0,0,0,0,,"?Нарушения устранены в ходе проверки
"
Нижне-Волжское управление,64 Саратовская область,контроль выполнения предписания,"ООО ""Балжилстрой""",6 453 048 033,А51-06857-0001; А51-06857-0002,10.04.2018,16.04.2018,2,2,0,0,0,0,1,0,0,1,1, 400 000.00 ? ,1, 30 000.00 ? ,0,0,0,0,,
